question,answer,p_answer,type,length,difficulty,latency,word,source,target,p_answer_clean,answer_clean,exact,cfm,Model,raw_response,annotated_question,edit_type
Substitute 'c' with 'z' in 'diseducate'.,diseduzate,dziseducate,substitute,10,1,,diseducate,c,z,dziseducate,diseduzate,False,0.8181818181818181,Initial,,,
Substitute 'p' with 'X' in 'carpetmaker'.,carXetmaker,carXetmaker,substitute,11,1,,carpetmaker,p,X,carXetmaker,carXetmaker,True,1.0,Initial,,,
Substitute 'm' with '\' in 'racemocarbonate'.,race\ocarbonate,,substitute,15,1,,racemocarbonate,m,\,,race\ocarbonate,False,0.0,Initial,,,
Substitute 'l' with '-' in 'histomorphology'.,histomorpho-ogy,,substitute,15,1,,histomorphology,l,-,,histomorpho-ogy,False,0.0,Initial,,,
Substitute 'd' with 'n' in 'duodecimole'.,nuonecimole,,substitute,11,1,,duodecimole,d,n,,nuonecimole,False,0.0,Initial,,,
Substitute 'c' with '/' in 'millepunctate'.,millepun/tate,/illepunctate,substitute,13,1,,millepunctate,c,/,/illepunctate,millepun/tate,False,0.8461538461538461,Initial,,,
Substitute 't' with 'o' in 'antecurvature'.,anoecurvaoure,aonceurvature,substitute,13,1,,antecurvature,t,o,aonceurvature,anoecurvaoure,False,0.6923076923076923,Initial,,,
Substitute 't' with 'm' in 'thuddingly'.,mhuddingly,muddingly,substitute,10,1,,thuddingly,t,m,muddingly,mhuddingly,False,0.9,Initial,,,
Substitute 't' with 'J' in 'undiscomfited'.,undiscomfiJed,,substitute,13,1,,undiscomfited,t,J,,undiscomfiJed,False,0.0,Initial,,,
Substitute 't' with '!' in 'centrolecithal'.,cen!roleci!hal,cen!lecithal,substitute,14,1,,centrolecithal,t,!,cen!lecithal,cen!roleci!hal,False,0.7857142857142857,Initial,,,
Substitute 'l' with 'H' in 'posteromesial'.,posteromesiaH,poseromesial,substitute,13,1,,posteromesial,l,H,poseromesial,posteromesiaH,False,0.8461538461538461,Initial,,,
Substitute 'a' with '$' in 'vega'.,veg$,ve\\u0024a,substitute,4,1,,vega,a,$,ve\\u0024a,veg$,False,0.19999999999999996,Initial,,,
Substitute 'i' with '7' in 'mima'.,m7ma,,substitute,4,1,,mima,i,7,,m7ma,False,0.0,Initial,,,
Substitute 'l' with 'y' in 'psammology'.,psammoyogy,,substitute,10,1,,psammology,l,y,,psammoyogy,False,0.0,Initial,,,
Substitute 't' with '3' in 'representatively'.,represen3a3ively,repr3sent4tively,substitute,16,1,,representatively,t,3,repr3sent4tively,represen3a3ively,False,0.75,Initial,,,
Substitute 'c' with 'v' in 'acenaphthene'.,avenaphthene,avenaphthene,substitute,12,1,,acenaphthene,c,v,avenaphthene,avenaphthene,True,1.0,Initial,,,
Substitute 'd' with 'V' in 'indumentum'.,inVumentum,,substitute,10,1,,indumentum,d,V,,inVumentum,False,0.0,Initial,,,
Substitute 'l' with 'd' in 'hypodermically'.,hypodermicaddy,,substitute,14,1,,hypodermically,l,d,,hypodermicaddy,False,0.0,Initial,,,
Substitute 'b' with '4' in 'unestablishment'.,unesta4lishment,,substitute,15,1,,unestablishment,b,4,,unesta4lishment,False,0.0,Initial,,,
Substitute 'r' with 'y' in 'epanorthidae'.,epanoythidae,,substitute,12,1,,epanorthidae,r,y,,epanoythidae,False,0.0,Initial,,,
Substitute 'w' with 'r' in 'wiseheartedly'.,riseheartedly,,substitute,13,1,,wiseheartedly,w,r,,riseheartedly,False,0.0,Initial,,,
Substitute 'r' with 'm' in 'prebaptismal'.,pmebaptismal,,substitute,12,1,,prebaptismal,r,m,,pmebaptismal,False,0.0,Initial,,,
Substitute 't' with 'W' in 'prothrombogen'.,proWhrombogen,proWrombogen,substitute,13,1,,prothrombogen,t,W,proWrombogen,proWhrombogen,False,0.9230769230769231,Initial,,,
Substitute 'm' with 'B' in 'unadmittableness'.,unadBittableness,unadmittableness,substitute,16,1,,unadmittableness,m,B,unadmittableness,unadBittableness,False,0.9375,Initial,,,
Substitute 'u' with 'O' in 'louk'.,loOk,LOK,substitute,4,1,,louk,u,O,LOK,loOk,False,0.25,Initial,,,
Substitute 'o' with 'M' in 'myxobacteriaceae'.,myxMbacteriaceae,,substitute,16,1,,myxobacteriaceae,o,M,,myxMbacteriaceae,False,0.0,Initial,,,
Substitute 'a' with 'r' in 'gastrojejunal'.,grstrojejunrl,grrojeojurnal,substitute,13,1,,gastrojejunal,a,r,grrojeojurnal,grstrojejunrl,False,0.6153846153846154,Initial,,,
Substitute 't' with 'k' in 'philoprogenitive'.,philoprogenikive,philokrogenitive,substitute,16,1,,philoprogenitive,t,k,philokrogenitive,philoprogenikive,False,0.875,Initial,,,
Substitute 'h' with 'v' in 'acetylhydrazine'.,acetylvydrazine,acectylvydrazine,substitute,15,1,,acetylhydrazine,h,v,acectylvydrazine,acetylvydrazine,False,0.9375,Initial,,,
Substitute 'x' with 'L' in 'nonexcusable'.,noneLcusable,nonLexcusable,substitute,12,1,,nonexcusable,x,L,nonLexcusable,noneLcusable,False,0.8461538461538461,Initial,,,
Substitute 'a' with 'y' in 'aw'.,yw,yw,substitute,2,1,,aw,a,y,yw,yw,True,1.0,Initial,,,
Substitute 'v' with 'j' in 'divestitive'.,dijestitije,divestitive,substitute,11,1,,divestitive,v,j,divestitive,dijestitije,False,0.8181818181818181,Initial,,,
Substitute 't' with '[' in 'granddaughter'.,granddaugh[er,,substitute,13,1,,granddaughter,t,[,,granddaugh[er,False,0.0,Initial,,,
Substitute 'b' with 'L' in 'timberwright'.,timLerwright,tLimerwLght,substitute,12,1,,timberwright,b,L,tLimerwLght,timLerwright,False,0.6666666666666667,Initial,,,
Substitute 'y' with 's' in 'lamprophyre'.,lamprophsre,lampspher,substitute,11,1,,lamprophyre,y,s,lampspher,lamprophsre,False,0.6363636363636364,Initial,,,
Substitute 'i' with '.' in 'tiza'.,t.za,,substitute,4,1,,tiza,i,.,,t.za,False,0.0,Initial,,,
Substitute 'x' with 'D' in 'loxodograph'.,loDodograph,loxodograph,substitute,11,1,,loxodograph,x,D,loxodograph,loDodograph,False,0.9090909090909091,Initial,,,
Substitute 'm' with 'G' in 'seminarianism'.,seGinarianisG,seminariGism,substitute,13,1,,seminarianism,m,G,seminariGism,seGinarianisG,False,0.6923076923076923,Initial,,,
Substitute 'd' with 'm' in 'manifolder'.,manifolmer,manifolder,substitute,10,1,,manifolder,d,m,manifolder,manifolmer,False,0.9,Initial,,,
Substitute 'u' with '8' in 'mishikhwutmetunne'.,mishikhw8tmet8nne,mishikhw8tmetunne,substitute,17,1,,mishikhwutmetunne,u,8,mishikhw8tmetunne,mishikhw8tmet8nne,False,0.9411764705882353,Initial,,,
Substitute 'b' with 'N' in 'reprobationary'.,reproNationary,,substitute,14,1,,reprobationary,b,N,,reproNationary,False,0.0,Initial,,,
Substitute 'w' with '?' in 'wa'.,?a,?a,substitute,2,1,,wa,w,?,?a,?a,True,1.0,Initial,,,
Substitute 'l' with 'q' in 'infinitesimality'.,infinitesimaqity,inqinitesimality,substitute,16,1,,infinitesimality,l,q,inqinitesimality,infinitesimaqity,False,0.875,Initial,,,
Substitute 's' with 'R' in 'miraculously'.,miraculouRly,miraculloy,substitute,12,1,,miraculously,s,R,miraculloy,miraculouRly,False,0.6666666666666667,Initial,,,
Substitute 'a' with '@' in 'deacidification'.,de@cidific@tion,@cidification,substitute,15,1,,deacidification,a,@,@cidification,de@cidific@tion,False,0.8,Initial,,,
Substitute 'z' with 'G' in 'blitzkrieg'.,blitGkrieg,Bligkrieg,substitute,10,1,,blitzkrieg,z,G,Bligkrieg,blitGkrieg,False,0.7,Initial,,,
Substitute 't' with '_' in 'roentgentherapy'.,roen_gen_herapy,_oerngent_heapy,substitute,15,1,,roentgentherapy,t,_,_oerngent_heapy,roen_gen_herapy,False,0.6666666666666667,Initial,,,
Substitute 'a' with 'z' in 'intuitionalism'.,intuitionzlism,,substitute,14,1,,intuitionalism,a,z,,intuitionzlism,False,0.0,Initial,,,
Substitute 'c' with 'P' in 'egotistically'.,egotistiPally,EgoPistically,substitute,13,1,,egotistically,c,P,EgoPistically,egotistiPally,False,0.7692307692307692,Initial,,,
Substitute 'e' with 'g' in 'splenemphraxis'.,splgngmphraxis,splngmphraxis,substitute,14,1,,splenemphraxis,e,g,splngmphraxis,splgngmphraxis,False,0.9285714285714286,Initial,,,
Substitute 'r' with '{' in 'borosalicylic'.,bo{osalicylic,b{o)sal{i}c{i{l}{ic},substitute,13,1,,borosalicylic,r,{,b{o)sal{i}c{i{l}{ic},bo{osalicylic,False,0.5,Initial,,,
Substitute 'n' with '}' in 'camaldolesian'.,camaldolesia},camald}}lesian,substitute,13,1,,camaldolesian,n,},camald}}lesian,camaldolesia},False,0.7857142857142857,Initial,,,
Substitute 'n' with 'k' in 'deliquescence'.,deliquescekce,dlikuescence,substitute,13,1,,deliquescence,n,k,dlikuescence,deliquescekce,False,0.7692307692307692,Initial,,,
Substitute 'g' with 'f' in 'gonorrheic'.,fonorrheic,fonorrheic,substitute,10,1,,gonorrheic,g,f,fonorrheic,fonorrheic,True,1.0,Initial,,,
Substitute 'g' with 'm' in 'paragraphical'.,paramraphical,mparagraphical,substitute,13,1,,paragraphical,g,m,mparagraphical,paramraphical,False,0.8571428571428572,Initial,,,
Substitute 'p' with 'h' in 'eurycephalous'.,eurycehhalous,,substitute,13,1,,eurycephalous,p,h,,eurycehhalous,False,0.0,Initial,,,
Substitute 'c' with 'T' in 'pseudoeugenics'.,pseudoeugeniTs,psuedoeugentT,substitute,14,1,,pseudoeugenics,c,T,psuedoeugentT,pseudoeugeniTs,False,0.7142857142857143,Initial,,,
Substitute 'b' with 'z' in 'lardizabalaceae'.,lardizazalaceae,zlrdizazabalaceae,substitute,15,1,,lardizabalaceae,b,z,zlrdizazabalaceae,lardizazalaceae,False,0.7647058823529411,Initial,,,
Substitute 'c' with 'x' in 'noncoinage'.,nonxoinage,,substitute,10,1,,noncoinage,c,x,,nonxoinage,False,0.0,Initial,,,
Substitute 'c' with 'j' in 'leucocytal'.,leujojytal,leujcytal,substitute,10,1,,leucocytal,c,j,leujcytal,leujojytal,False,0.8,Initial,,,
Substitute 'd' with 'F' in 'dorsosacral'.,Forsosacral,Frososacral,substitute,11,1,,dorsosacral,d,F,Frososacral,Forsosacral,False,0.8181818181818181,Initial,,,
Substitute 'h' with 'e' in 'polychromatophil'.,polyceromatopeil,,substitute,16,1,,polychromatophil,h,e,,polyceromatopeil,False,0.0,Initial,,,
Substitute 'c' with 'g' in 'couchmaking'.,goughmaking,gougmaking,substitute,11,1,,couchmaking,c,g,gougmaking,goughmaking,False,0.9090909090909091,Initial,,,
Substitute 'r' with 'b' in 'serenissimo'.,sebenissimo,,substitute,11,1,,serenissimo,r,b,,sebenissimo,False,0.0,Initial,,,
Substitute 'r' with '4' in 'reconventional'.,4econventional,,substitute,14,1,,reconventional,r,4,,4econventional,False,0.0,Initial,,,
Substitute 'g' with 'r' in 'enlargement'.,enlarrement,erlargement,substitute,11,1,,enlargement,g,r,erlargement,enlarrement,False,0.8181818181818181,Initial,,,
Substitute 'u' with 'l' in 'belieffulness'.,belieffllness,belielffleness,substitute,13,1,,belieffulness,u,l,belielffleness,belieffllness,False,0.8571428571428572,Initial,,,
Substitute 'r' with '\' in 'spectrophotometer'.,spect\ophotomete\,spectrophotometomer,substitute,17,1,,spectrophotometer,r,\,spectrophotometomer,spect\ophotomete\,False,0.7894736842105263,Initial,,,
Substitute 'l' with 'b' in 'unopposedly'.,unopposedby,,substitute,11,1,,unopposedly,l,b,,unopposedby,False,0.0,Initial,,,
Substitute 'c' with 'K' in 'choloidinic'.,KholoidiniK,Khololidinic,substitute,11,1,,choloidinic,c,K,Khololidinic,KholoidiniK,False,0.8333333333333334,Initial,,,
Substitute 'p' with 'e' in 'procollegiate'.,erocollegiate,,substitute,13,1,,procollegiate,p,e,,erocollegiate,False,0.0,Initial,,,
"Substitute 'u' with '""' in 'dult'.","d""lt",\\,substitute,4,1,,dult,u,"""",\\,"d""lt",False,0.0,Initial,,,
Substitute 'f' with 'N' in 'profection'.,proNection,profeNction,substitute,10,1,,profection,f,N,profeNction,proNection,False,0.8181818181818181,Initial,,,
Substitute 'e' with '|' in 'wile'.,wil|,|il,substitute,4,1,,wile,e,|,|il,wil|,False,0.5,Initial,,,
Substitute 'l' with '!' in 'overwhelmingly'.,overwhe!ming!y,,substitute,14,1,,overwhelmingly,l,!,,overwhe!ming!y,False,0.0,Initial,,,
Substitute 'i' with '2' in 'presanctification'.,presanct2f2cat2on,preasanctification,substitute,17,1,,presanctification,i,2,preasanctification,presanct2f2cat2on,False,0.7777777777777778,Initial,,,
Substitute 's' with '3' in 'unweariableness'.,unweariablene33,,substitute,15,1,,unweariableness,s,3,,unweariablene33,False,0.0,Initial,,,
Substitute 'r' with 'S' in 'supergratification'.,supeSgSatification,,substitute,18,1,,supergratification,r,S,,supeSgSatification,False,0.0,Initial,,,
Substitute 'b' with 'Z' in 'bronchiectasis'.,Zronchiectasis,Zronchiectasis,substitute,14,1,,bronchiectasis,b,Z,Zronchiectasis,Zronchiectasis,True,1.0,Initial,,,
Substitute 'y' with 'r' in 'unperceivedly'.,unperceivedlr,unperedcely,substitute,13,1,,unperceivedly,y,r,unperedcely,unperceivedlr,False,0.6153846153846154,Initial,,,
Substitute 'm' with 't' in 'mononitrate'.,tononitrate,tononitrate,substitute,11,1,,mononitrate,m,t,tononitrate,tononitrate,True,1.0,Initial,,,
Substitute 'r' with '#' in 'carminophilous'.,ca#minophilous,c#m#cphilocbus,substitute,14,1,,carminophilous,r,#,c#m#cphilocbus,ca#minophilous,False,0.5714285714285714,Initial,,,
Substitute 'd' with 'j' in 'unmobilized'.,unmobilizej,junmobilized,substitute,11,1,,unmobilized,d,j,junmobilized,unmobilizej,False,0.8333333333333334,Initial,,,
Substitute 'h' with '/' in 'asthenobiosis'.,ast/enobiosis,,substitute,13,1,,asthenobiosis,h,/,,ast/enobiosis,False,0.0,Initial,,,
Substitute 'n' with 'm' in 'splanchnesthetic'.,splamchmesthetic,splanchnesthetic,substitute,16,1,,splanchnesthetic,n,m,splanchnesthetic,splamchmesthetic,False,0.875,Initial,,,
Substitute 'a' with '1' in 'pipa'.,pip1,pp1p,substitute,4,1,,pipa,a,1,pp1p,pip1,False,0.5,Initial,,,
Substitute 'r' with 'R' in 'emissaryship'.,emissaRyship,emiSariShip,substitute,12,1,,emissaryship,r,R,emiSariShip,emissaRyship,False,0.5833333333333333,Initial,,,
Substitute 'n' with 'U' in 'transmigration'.,traUsmigratioU,trasMigration,substitute,14,1,,transmigration,n,U,trasMigration,traUsmigratioU,False,0.7857142857142857,Initial,,,
Substitute 'a' with 'j' in 'leadenhearted'.,lejdenhejrted,jeadhhearted,substitute,13,1,,leadenhearted,a,j,jeadhhearted,lejdenhejrted,False,0.6153846153846154,Initial,,,
Substitute 'm' with 'G' in 'seminarianism'.,seGinarianisG,,substitute,13,1,,seminarianism,m,G,,seGinarianisG,False,0.0,Initial,,,
Substitute 'l' with 'a' in 'semisuccessfully'.,semisuccessfuaay,semasuccessfully,substitute,16,1,,semisuccessfully,l,a,semasuccessfully,semisuccessfuaay,False,0.8125,Initial,,,
Substitute 'i' with '8' in 'fuji'.,fuj8,,substitute,4,1,,fuji,i,8,,fuj8,False,0.0,Initial,,,
Substitute 'a' with 'L' in 'acetophenetide'.,Lcetophenetide,Lctolphnetide,substitute,14,1,,acetophenetide,a,L,Lctolphnetide,Lcetophenetide,False,0.7857142857142857,Initial,,,
Substitute 'i' with 'd' in 'theologization'.,theologdzatdon,theodolization,substitute,14,1,,theologization,i,d,theodolization,theologdzatdon,False,0.7142857142857143,Initial,,,
Substitute 'd' with 'C' in 'uneliminated'.,uneliminateC,unCelimated,substitute,12,1,,uneliminated,d,C,unCelimated,uneliminateC,False,0.6666666666666667,Initial,,,
